DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Compostagem,1-1-2,Microbiologia Ambiental; Resíduos Sólidos,EAU - Engenharia Ambiental e Urbana (OL)
Computabilidade e Complexidade,4-0-4,Lógica básica,BFIL - Bacharelado em Filosofia (OL)
Computação Científica Aplicada a Problemas Biológicos,1-3-4,Processamento da Informação; Cálculo Numérico; Natureza da Informação; Introdução à Probabilidade e à Estatística,EBIO - Engenharia Biomédica (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Computação Evolutiva e Conexionista,4-0-4,Inteligência Artificial,BN - Bacharelado em Neurociência (OL);BCC - Bacharelado em Ciências da Computação (OL)
Computação Gráfica,3-1-4,Algoritmos e Estruturas de Dados I; Geometria Analítica,BCC - Bacharelado em Ciências da Computação (OBR)
Computadores Ética e Sociedade,2-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Comunicação Científica,2-0-2,Bases Epistemológicas da Ciência Moderna,BN - Bacharelado em Neurociência (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Comunicação Digital,3-1-4,Princípios de Comunicação; Sinais Aleatórios,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Comunicação e Redes,3-0-4,Processamento da Informação,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Comunicações Móveis,3-1-4,Comunicação Digital; Ondas Eletromagnéticas Aplicadas,EINF - Engenharia de Informação (OBR)
Comunicações Ópticas,3-1-4,Fundamentos de Fotônica,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Conceitos de Marketing,2-0-3,Desenvolvimento Integrado do Produto,EGES - Engenharia de Gestão (OL)
Conceitos e Modelos da Química Moderna,2-0-2,Transformações Químicas; Estrutura da Matéria,LQ - Licenciatura em Química (OL)
Conexões e Fibrados,4-0-4,Geometria Diferencial II,BM - Bacharelado em Matemática (OL)
Confiabilidade de Componentes e Sistemas,3-0-4,Introdução à Probabilidade e à Estatística,EAER - Engenharia Aeroespacial (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Confiabilidade Industrial em Sistemas de Gestão,2-2-4,Estatística Aplicada a Sistemas de Gestão,EGES - Engenharia de Gestão (OL)
Conflitos no Ciberespaço: ativismo e guerra nas redes cibernéticas,4-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Conflitos Sociais,4-0-4,Não há,LCB - Licenciatura em Ciências Biológicas (OL);BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Conhecimento e Técnica: Perspectivas da Antiguidade e Período Medieval,4-0-4,Não há,LFIS - Licenciatura em Física (OL);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Conhecimento na Economia: Abordagens e Interfaces com as Atividades de CT&I,4-0-4,Introdução à Economia,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Conservação da Biodiversidade,4-0-4,Biodiversidade: Interações entre organismos e ambiente; Práticas de Ecologia,BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OL)
Consolidação de Conceitos e Métodos de Fenômenos Eletromagnéticos,0-2-5,Fenômenos Eletromagnéticos,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL)
Consolidação de Conceitos e Métodos de Fenômenos Mecânicos,0-2-5,Fenômenos Mecânicos,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL)
Consolidação de Conceitos e Métodos de Fenômenos Térmicos,0-2-5,Fenômenos Térmicos,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL)
Consolidação de Conceitos e Métodos de Interações Atômicas e Moleculares,2-0-5,Interações Atômicas e Moleculares,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL)
Construções Geométricas e Geometria Métrica,4-0-4,Geometria Plana Axiomática,LM - Licenciatura em Matemática (OBR)
Contabilidade Básica,4-0-4,Bases Matemáticas,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Contabilidade para Engenharia,4-0-5,Economia de Empresas,EGES - Engenharia de Gestão (OL)
Contaminação e Remediação de Solos,3-0-1,Geotecnia; Microbiologia Ambiental,EAU - Engenharia Ambiental e Urbana (OL)
Controle Avançado de Robôs,3-0-4,Fundamentos de Robótica,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Controle Não-Linear,3-1-4,Sistemas de Controle I,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Controle Robusto Multivariável,3-1-4,Sistemas de Controle II,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Corpo Sexualidade e Questões de Gênero,4-0-4,Não há,LM - Licenciatura em Matemática (OL);LFIL - Licenciatura em Filosofia (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Cristalografia e Difração De Raios X,3-1-4,Mecânica Quântica I; Estado Sólido,BFIS - Bacharelado em Física (OL)
Cultura Política,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Cultura identidade e política na América Latina,4-0-4,Não há,BRI - Bacharelado em Relações Internacionais (OL)
Custos,4-2-9,Engenharia Econômica,EGES - Engenharia de Gestão (OBR);BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
De Mercosul Unasul à Celac,4-0-4,História de atuação do Brasil nos processos de integração sul-americana,BRI - Bacharelado em Relações Internacionais (OL)
Demografia,4-0-4,Não há,BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Desafios do Pré-Sal e a Inserção Internacional do Brasil,4-0-4,Economia política internacional da energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Desempenho de Aeronaves,4-0-4,Fenômenos Mecânicos; Aeronáutica I-A; Funções de Uma Variável,EAER - Engenharia Aeroespacial (OBR)
Desenho e Projeto em Química,3-0-4,Transformações Químicas; bioquímica: estrutura propriedades e funções de biomoléculas,BQ - Bacharelado em Química (OL)
Desenvolvimento e Aprendizagem,4-0-4,Não há,LFIL - Licenciatura em Filosofia;LCB (OBR) - Licenciatura em Ciências Biológicas (OBR);LFIS - Licenciatura em Física (OBR);LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LQ - Licenciatura em Química (OBR)
Desenvolvimento e Degeneração do Sistema Nervoso,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Neuroanatomia; Neurobiologia molecular e celular,BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Desenvolvimento e Sustentabilidade,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OBR)
Desenvolvimento Econômico e Social No Brasil,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Desenvolvimento Humano e Pobreza Urbana,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Desenvolvimento Integrado do Produto,2-2-5,Sistemas CAD/CAE,EGES - Engenharia de Gestão (OBR)
Desenvolvimento Socioeconômico,4-0-3,Introdução à Economia; Introdução ao Pensamento Econômico; Macroeconomia I; Macroeconomia II; Macroeconomia Pós-Keynesiana; Macroeconomia III ,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Design de Dispositivos,4-0-4,Propriedades Elétricas Magnéticas e Ópticas,EMAT - Engenharia de Materiais (OL)
Desigualdades de Raça Gênero e Renda,4-0-4,Interpretações do Brasil; Estudos Étnico-Raciais; História Econômica Geral; Formação Econômica do Brasil; Economia Brasileira Contemporânea I; Economia Brasileira Contemporânea II; Economia Brasileira Contemporânea III; Desenvolvimento Socioeconômico,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Desigualdades Regionais e Formação Socioespacial do Brasil,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Diagramas de Fase,4-0-4,Termodinâmica de Materiais; Termodinâmica Estatística de Materiais; Ciência dos Materiais,EMAT - Engenharia de Materiais (OL)
Diálogos Interdisciplinares,4-0-4,Introdução às Humanidades e às Ciências Sociais,BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OBR)
Didática,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OBR);LCB - Licenciatura em Ciências Biológicas (OBR);LFIS - Licenciatura em Física (OBR);LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LQ - Licenciatura em Química (OBR)
Didática da Matemática,2-2-4,Não há,LM - Licenciatura em Matemática (OL)
Dinâmica de Fluidos Computacional,3-1-4,Dinâmica de Gases,EAER - Engenharia Aeroespacial (OL)
Dinâmica de Gases,4-2-4,Mecânica dos Fluidos I,EAER - Engenharia Aeroespacial (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Dinâmica dos Investimentos Produtivos Internacionais,4-0-4,Globalização e os processos de integração regional,BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Dinâmica e Controle de Veículos Espaciais,4-0-4,Dinâmica I; Sistemas de Controle I,EAER - Engenharia Aeroespacial (OBR)
Dinâmica e desafios dos processos migratórios,4-0-4,Não há,BRI - Bacharelado em Relações Internacionais (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Dinâmica I,4-0-5,Fenômenos Mecânicos; Geometria Analítica; Cálculo Numérico; Introdução às Equações Diferenciais Ordinárias,EAER - Engenharia Aeroespacial (OBR)
Dinâmica II,4-0-4,Dinâmica I,EAER - Engenharia Aeroespacial (OL)
Dinâmica Molecular e Monte Carlo,3-1-4,Tópicos Computacionais em Materiais,EMAT - Engenharia de Materiais (OL)
Dinâmica Não Linear e Caos,4-0-4,Mecânica Clássica II; Álgebra Linear,BFIS - Bacharelado em Física (OL);BM - Bacharelado em Matemática (OL)
Dinâmica Orbital,4-0-4,Dinâmica I,EAER - Engenharia Aeroespacial (OL)
Dinâmicas Socioespaciais do ABC Paulista,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Dinâmicas Territoriais e Relações Étnico-Raciais No Brasil,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Direito Internacional Público,4-0-4,Introdução ao Estudo do Direito,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Discussões Atuais em Filosofia da Ciência,4-0-4,Filosofia da ciência; Lógica básica,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Dispositivos Eletrônicos,3-2-4,Circuitos Elétricos I,LFIS - Licenciatura em Física (OL);EBIO - Engenharia Biomédica (OL);EAER - Engenharia Aeroespacial (OL);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Diversidade Cultural Conhecimento Local e Políticas Públicas,4-0-4,Não há,LCB - Licenciatura em Ciências Biológicas (OL);BPP - Bacharelado em Políticas Públicas (OL);LFIL - Licenciatura em Filosofia (OL)
Diversidades e Cultura no Mundo Ocidental,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Doenças do Sistema Nervoso,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Neuroanatomia,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Ecologia Comportamental,2-2-4,Biodiversidade: Interações entre organismos e ambiente,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Ecologia do Ambiente Urbano,2-0-4,Biodiversidade: Interações entre Organismos e Ambiente,EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Ecologia Vegetal,2-2-4,Práticas de Ecologia,BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL)
Econometria I,2-2-3,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Econometria II,2-2-3,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Econometria III,2-2-3,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I; Econometria II,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia Brasileira Contemporânea I,4-0-3,Interpretações do Brasil; Formação Econômica do Brasil,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia Brasileira Contemporânea II,4-0-3,Interpretações do Brasil; Formação Econômica do Brasil; Economia Brasileira Contemporânea I,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia Brasileira Contemporânea III,4-0-4,Interpretações do Brasil; Formação Econômica do Brasil; Economia Brasileira Contemporânea I; Economia Brasileira Contemporânea II,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia da Energia,4-0-4,Bases Conceituais da Energia,EENE - Engenharia de Energia (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia da Inovação Tecnológica,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BBT - Bacharelado em Biotecnologia (OL)
Economia de Empresas,2-0-3,Custos,BQ - Bacharelado em Química (OL);EGES - Engenharia de Gestão (OBR);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia Dinâmica,4-0-4,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática,BCE - Bacharelado em Ciências Econômicas (OL)
Economia do Petróleo e do Gás Natural,4-0-4,Análise Econômica de Projetos Energéticos,EENE - Engenharia de Energia (OL)
Economia do Setor Público,4-0-4,Introdução à Economia; Macroeconomia I; Macroeconomia II; Macroeconomia Pós-Keynesiana; Microeconomia I; Microeconomia II; Microeconomia III,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Economia do Território,4-0-3,Não há,EAU - Engenharia Ambiental e Urbana (OL);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Economia do Trabalho,4-0-3,Economia Política,BCE - Bacharelado em Ciências Econômicas (OL)
Economia e Meio Ambiente,4-0-4,Desenvolvimento e Sustentabilidade; Microeconomia I; Microeconomia II,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia Industrial,4-0-4,Microeconomia II; Microeconomia III,EGES - Engenharia de Gestão (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Economia Institucional I,4-0-3,Introdução ao Pensamento Econômico,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Economia Institucional II,4-0-3,Economia Institucional I,BCE - Bacharelado em Ciências Econômicas (OL)
Economia Internacional I,4-0-4,Introdução à Economia; Introdução ao Pensamento Econômico; Microeconomia I; Microeconomia II; Microeconomia III,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL)
